state,name,localid,year,p1,p2,p3,p4,p1_impute,p2_impute
LA,Rapides Parish,040,2014,2,6,47,45,0,0
LA,Red River Parish,041,2014,2,13,61,24,0,0
LA,Richland Parish,042,2014,1,6,60,33,1,0
LA,Sabine Parish,043,2014,3,12,51,34,0,0
LA,St. Bernard Parish,044,2014,1,9,65,25,1,0
LA,St. Charles Parish,045,2014,0,3,61,36,1,0
LA,St. Helena Parish,046,2014,4,9,72,15,0,0
LA,St. James Parish,047,2014,1,6,64,28.999999999999996,1,0
LA,St. John the Baptist Parish,048,2014,1,4,54,41,1,0
LA,St. Landry Parish,049,2014,2,5,56.00000000000001,37,1,0
LA,St. Martin Parish,050,2014,0,2,50,48,1,1
LA,St. Mary Parish,051,2014,1,3,62,34,1,0
LA,St. Tammany Parish,052,2014,1,6,59,34,1,0
LA,Tangipahoa Parish,053,2014,5,13,62,19,0,0
LA,Tensas Parish,054,2014,0,0,31,69,1,1
LA,Terrebonne Parish,055,2014,2,6,47,45,0,0
LA,Union Parish,056,2014,3,13,52,32,0,0
LA,Vermilion Parish,057,2014,3,9,62,26,0,0
LA,Vernon Parish,058,2014,0,2,37,61,1,0
LA,Washington Parish,059,2014,3,7.000000000000001,66,24,0,0
LA,Webster Parish,060,2014,0,4,41,55.00000000000001,1,0
LA,West Baton Rouge Parish,061,2014,2,1,56.00000000000001,41,0,1
LA,West Carroll Parish,062,2014,0,1,30,69,1,1
LA,West Feliciana Parish,063,2014,0,0,55.00000000000001,45,1,1
LA,Winn Parish,064,2014,1,2,51,46,1,0
LA,City of Monroe Parish,065,2014,2,2,56.99999999999999,39,0,0
LA,City of Bogalusa Parish,066,2014,4,11,65,20,0,0
LA,Zachary Community Parish,067,2014,0,1,28.000000000000004,71,1,1
LA,City of Baker Parish,068,2014,7.000000000000001,19,66,7.000000000000001,0,0
LA,Central Community Parish,069,2014,0,0,32,68,1,1
LA,Acadia Parish,001,2015,0,4.31,39.86,55.83,1,0
LA,Allen Parish,002,2015,0,0.3100000000000023,27.1,72.59,1,1
LA,Ascension Parish,003,2015,0.14000000000000057,6.97,70.98,21.91,1,0
LA,Assumption Parish,004,2015,0.8100000000000023,8.94,67.89,22.36,1,0
LA,Avoyelles Parish,005,2015,0.9399999999999977,7.26,46.37,45.43,1,0
LA,Beauregard Parish,006,2015,0,0.7199999999999989,17.07,82.21,1,1
LA,Bienville Parish,007,2015,0.6100000000000136,4.85,50.3,44.24,1,0
LA,Bossier Parish,008,2015,0,0.3499999999999943,28.82,70.83,1,1
LA,Caddo Parish (without previously failing RSD schools),009,2015,0.20000000000000284,4.54,39.6,55.66,1,0
LA,Calcasieu Parish,010,2015,0.23000000000000398,2.27,26.96,70.54,1,0
LA,Caldwell Parish,011,2015,0.010000000000005116,13.49,35.71,50.79,1,0
LA,Cameron Parish,012,2015,0,2.19,30.66,67.15,1,0
LA,Catahoula Parish,013,2015,0,1.85,37.04,61.11,1,0
LA,Claiborne Parish,014,2015,0,3,43,54,1,0
LA,Concordia Parish,015,2015,1.4210854715202004e-14,3.85,32.05,64.1,1,0
LA,DeSoto Parish,016,2015,0.009999999999990905,3.95,38.7,57.34,1,0
LA,East Baton Rouge Parish (without previously failing RSD schools),017,2015,0.20999999999999375,6.58,42.04,51.17,1,0
LA,East Carroll Parish,018,2015,0,7.94,69.84,22.22,1,0
LA,East Feliciana Parish,019,2015,0,10.53,72.93,16.54,1,0
LA,Evangeline Parish,020,2015,0,3.66,33.68,62.66,1,0
LA,Franklin Parish,021,2015,0,2.56,43.08,54.36,1,0
