localid,name,e4,e3,e1,eu,et,year,e2,state
17,escambia,1010,1437,36,276,2896,2016,137,FL
18,flagler,502,184,0,73,770,2016,11,FL
19,franklin,7,56,0,19,86,2016,4,FL
20,gadsden,73,216,2,106,472,2016,75,FL
21,gilchrist,97,51,5,9,162,2016,0,FL
22,glades,46,82,0,14,145,2016,3,FL
23,gulf,37,73,0,7,117,2016,0,FL
24,hamilton,44,55,0,16,119,2016,4,FL
25,hardee,103,233,0,0,353,2016,17,FL
26,hendry,241,156,3,47,464,2016,17,FL
27,hernando,919,507,0,132,1560,2016,2,FL
28,highlands,223,532,0,63,845,2016,27,FL
29,hillsborough,7646,5958,103,2190,16141,2016,244,FL
30,holmes,103,99,0,26,238,2016,10,FL
31,indian river,602,358,1,135,1133,2016,37,FL
32,jackson,35,366,0,61,499,2016,37,FL
33,jefferson,8,58,0,13,81,2016,2,FL
34,lafayette,59,10,0,2,71,2016,0,FL
35,lake,596,2095,0,545,3383,2016,147,FL
36,lee,1737,3495,17,525,5831,2016,57,FL
37,leon,1264,713,0,369,2368,2016,22,FL
38,levy,98,200,0,46,370,2016,26,FL
39,liberty,83,9,0,6,98,2016,0,FL
40,madison,35,84,10,72,215,2016,14,FL
41,manatee,1443,1502,9,269,3271,2016,48,FL
42,marion,523,2030,0,449,3008,2016,6,FL
43,martin,718,388,6,141,1294,2016,41,FL
44,monroe,354,152,0,38,547,2016,3,FL
45,nassau,428,197,0,105,731,2016,1,FL
46,okaloosa,1780,42,1,103,1926,2016,0,FL
47,okeechobee,78,269,0,46,429,2016,36,FL
48,orange,8379,2577,0,1236,12381,2016,189,FL
49,osceola,735,2573,22,450,3861,2016,81,FL
50,palm beach,5934,5779,1,1428,13203,2016,61,FL
51,pasco,3456,1093,1,737,5333,2016,46,FL
52,pinellas,627,4978,6,1482,7571,2016,478,FL
53,polk,1768,3059,0,1762,6602,2016,13,FL
54,putnam,6,620,0,37,663,2016,0,FL
55,st. johns,1273,839,0,104,2220,2016,4,FL
56,st. lucie,1629,573,4,359,2575,2016,10,FL
57,santa rosa,1315,391,0,279,1986,2016,1,FL
58,sarasota,1677,1168,0,634,3508,2016,29,FL
59,seminole,3085,824,0,689,4622,2016,24,FL
60,sumter,240,271,3,70,597,2016,13,FL
61,suwannee,230,125,0,72,428,2016,1,FL
62,taylor,52,128,0,28,211,2016,3,FL
63,union,115,47,0,11,173,2016,0,FL
64,volusia,1130,2864,0,546,4657,2016,117,FL
65,wakulla,173,115,1,47,337,2016,1,FL
66,walton,331,138,0,148,619,2016,2,FL
67,washington,82,151,1,55,298,2016,9,FL
68,fsdb,73,38,2,17,132,2016,2,FL
69,washington special,3,6,0,1,11,2016,1,FL
71,fl virtual,1227,279,0,144,1651,2016,1,FL
72,fau lab school,85,33,0,33,151,2016,0,FL
73,fsu lab school,7,92,0,56,161,2016,6,FL
74,famu lab school,24,8,0,4,39,2016,3,FL
75,uf lab school,54,6,0,9,69,2016,0,FL
01,alachua,1310,309,5,119,1761,2017,18,FL
02,baker,211,75,0,18,308,2017,4,FL
03,bay,1145,601,3,141,1907,2017,17,FL
04,bradford,20,124,0,136,284,2017,4,FL
05,brevard,3884,447,1,564,4915,2017,19,FL
06,broward,3018,12159,37,2457,17861,2017,190,FL
07,calhoun,13,102,0,39,162,2017,8,FL
08,charlotte,369,512,3,89,1005,2017,32,FL
09,citrus,713,196,3,176,1109,2017,21,FL
10,clay,1978,526,2,89,2596,2017,1,FL
11,collier,1407,1729,1,51,3210,2017,22,FL
12,columbia,363,264,0,65,713,2017,21,FL
13,dade,7808,10980,14,3789,22840,2017,249,FL
14,desoto,212,74,0,53,339,2017,0,FL
15,dixie,42,83,0,6,137,2017,6,FL
16,duval,2058,5102,0,887,8332,2017,285,FL
17,escambia,951,1454,39,244,2820,2017,132,FL
18,flagler,508,200,1,88,805,2017,8,FL
19,franklin,26,48,0,17,102,2017,11,FL
20,gadsden,74,185,0,162,424,2017,3,FL
21,gilchrist,109,36,5,11,161,2017,0,FL
22,glades,49,72,0,26,148,2017,1,FL
23,gulf,39,77,0,19,135,2017,0,FL
24,hamilton,46,50,0,27,132,2017,9,FL
25,hardee,63,251,0,0,317,2017,3,FL
26,hendry,232,169,2,31,463,2017,29,FL
27,hernando,922,508,0,154,1586,2017,2,FL
28,highlands,292,457,0,53,817,2017,15,FL
29,hillsborough,9211,4337,126,2250,16089,2017,165,FL
30,holmes,130,82,0,24,245,2017,9,FL
31,indian river,630,325,1,138,1125,2017,31,FL
32,jackson,78,345,0,68,504,2017,13,FL
33,jefferson,13,32,0,15,63,2017,3,FL
34,lafayette,54,15,0,3,73,2017,1,FL
35,lake,794,2003,0,241,3093,2017,55,FL
36,lee,2088,3289,26,633,6087,2017,51,FL
37,leon,1456,513,11,364,2369,2017,25,FL
38,levy,102,188,1,56,369,2017,22,FL
39,liberty,75,14,0,19,109,2017,1,FL
40,madison,62,80,5,34,199,2017,18,FL
41,manatee,1491,1257,12,621,3467,2017,86,FL
42,marion,888,1403,0,492,3014,2017,231,FL
43,martin,825,277,1,181,1318,2017,34,FL
44,monroe,330,205,0,56,595,2017,4,FL
45,nassau,484,150,0,110,745,2017,1,FL
46,okaloosa,1842,55,0,64,1961,2017,0,FL
47,okeechobee,89,268,0,41,437,2017,39,FL
48,orange,8773,1743,1,1761,12369,2017,91,FL
49,osceola,641,2761,69,336,3913,2017,106,FL
50,palm beach,6845,5026,12,1273,13242,2017,86,FL
51,pasco,3140,1160,0,1099,5423,2017,24,FL
52,pinellas,1203,5165,0,1125,7633,2017,140,FL
53,polk,2472,3011,0,1267,6785,2017,35,FL
54,putnam,110,448,0,155,719,2017,6,FL
55,st. johns,1331,849,0,153,2343,2017,10,FL
56,st. lucie,1629,445,8,397,2500,2017,21,FL
57,santa rosa,1449,316,0,140,1905,2017,0,FL
58,sarasota,1599,1105,0,839,3570,2017,27,FL
59,seminole,3181,710,0,676,4574,2017,7,FL
60,sumter,255,240,1,85,585,2017,4,FL
61,suwannee,292,73,0,35,402,2017,2,FL
62,taylor,53,113,0,34,200,2017,0,FL
63,union,132,27,0,12,171,2017,0,FL
64,volusia,1339,2792,0,513,4754,2017,110,FL
65,wakulla,202,87,0,46,335,2017,0,FL
66,walton,328,152,0,133,630,2017,17,FL
67,washington,96,134,1,57,302,2017,14,FL
68,fsdb,99,27,0,13,141,2017,2,FL
69,washington special,0,10,0,1,11,2017,0,FL
71,fl virtual,1273,237,0,227,1738,2017,1,FL
72,fau lab school,127,1,1,16,145,2017,0,FL
73,fsu lab school,41,103,0,8,154,2017,2,FL
74,famu lab school,10,13,0,3,38,2017,12,FL
75,uf lab school,68,1,0,6,75,2017,0,FL
01,alachua,1257,232,1,252,1757,2018,15,FL
02,baker,217,66,0,16,301,2018,2,FL
03,bay,1241,543,0,99,1891,2018,8,FL
04,bradford,4,206,0,29,240,2018,1,FL
05,brevard,3727,520,3,448,4714,2018,16,FL
06,broward,4725,11332,10,1534,17706,2018,105,FL
07,calhoun,23,99,0,32,161,2018,7,FL
08,charlotte,458,403,0,92,969,2018,16,FL
09,citrus,695,177,0,134,1021,2018,15,FL
10,clay,2285,103,6,262,2656,2018,0,FL
11,collier,1716,1332,1,148,3219,2018,22,FL
12,columbia,377,204,0,33,637,2018,23,FL
13,miami-dade,8529,10498,14,3701,22944,2018,202,FL
14,desoto,175,87,0,45,309,2018,2,FL
15,dixie,31,83,0,10,129,2018,5,FL
16,duval,2489,4654,2,944,8342,2018,253,FL
17,escambia,1017,1331,31,568,3083,2018,136,FL
18,flagler,526,169,1,109,817,2018,12,FL
19,franklin,14,54,0,6,80,2018,6,FL
20,gadsden,111,191,0,86,401,2018,13,FL
21,gilchrist,116,34,3,8,161,2018,0,FL
22,glades,54,66,0,20,155,2018,15,FL
23,gulf,44,76,0,3,123,2018,0,FL
24,hamilton,42,38,0,23,114,2018,11,FL
25,hardee,97,207,0,0,316,2018,12,FL
26,hendry,121,226,2,47,428,2018,32,FL
27,hernando,856,472,0,223,1558,2018,7,FL
28,highlands,343,394,0,26,769,2018,6,FL
29,hillsborough,9606,3774,75,2122,15747,2018,170,FL
30,holmes,184,35,0,8,232,2018,5,FL
31,indian river,769,261,0,112,1160,2018,18,FL
32,jackson,86,334,0,56,484,2018,8,FL
33,jefferson,12,18,1,9,50,2018,10,FL
34,lafayette,58,11,0,2,71,2018,0,FL
35,lake,1216,1608,0,225,3070,2018,21,FL
36,lee,2256,2821,6,613,5724,2018,28,FL
37,leon,1679,314,0,306,2308,2018,9,FL
38,levy,107,162,0,64,351,2018,18,FL
39,liberty,77,13,0,26,117,2018,1,FL
40,madison,83,64,3,16,173,2018,7,FL
41,manatee,1790,945,1,573,3361,2018,52,FL
42,marion,763,1451,5,451,2961,2018,291,FL
43,martin,837,277,3,161,1305,2018,27,FL
44,monroe,411,203,0,8,630,2018,8,FL
45,nassau,535,188,0,185,909,2018,1,FL
46,okaloosa,1767,24,0,74,1866,2018,1,FL
47,okeechobee,114,246,0,0,378,2018,18,FL
48,orange,9757,1508,0,127,11443,2018,51,FL
49,osceola,857,2656,7,342,3937,2018,75,FL
50,palm beach,8155,3819,9,594,12663,2018,86,FL
51,pasco,3027,1179,2,1120,5393,2018,65,FL
52,pinellas,1475,4640,0,1424,7645,2018,106,FL
53,polk,2644,2819,0,1248,6738,2018,27,FL
54,putnam,110,460,0,148,727,2018,9,FL
55,st. johns,1162,1011,0,163,2360,2018,24,FL
56,st. lucie,1493,777,7,155,2503,2018,71,FL
57,santa rosa,1706,88,0,80,1874,2018,0,FL
58,sarasota,1948,975,1,637,3580,2018,19,FL
59,seminole,3387,920,0,265,4586,2018,14,FL
60,sumter,374,153,0,60,594,2018,7,FL
61,suwannee,244,95,0,15,354,2018,0,FL
62,taylor,50,109,0,25,187,2018,3,FL
63,union,144,15,0,14,173,2018,0,FL
64,volusia,1553,2426,1,418,4531,2018,133,FL
65,wakulla,192,120,0,15,330,2018,3,FL
66,walton,388,175,0,60,639,2018,16,FL
67,washington,116,113,1,57,291,2018,4,FL
68,fsdb,105,24,0,8,143,2018,6,FL
71,fl virtual,1352,219,0,1,1572,2018,0,FL
72,fau lab school,120,17,0,14,152,2018,1,FL
73,fsu lab school,59,79,0,12,155,2018,5,FL
74,famu lab school,9,14,1,3,47,2018,20,FL
75,uf lab school,63,2,0,2,67,2018,0,FL
