state,year,localid,name,e1,e2,e3,e4,et,e1_impute,e2_impute,e3_impute,e4_impute,p1,p2,p3,p4,ps
OH,2017,047738,south central local,NA,NA,NA,NA,55,NA,NA,NA,NA,0,0,37.096773999999996,54.838708999999994,0.08064516
OH,2018,047738,south central local,NA,NA,NA,NA,57,NA,NA,NA,NA,0,0,27.1,72.9,0
OH,2019,047738,south central local,NA,NA,NA,NA,57,NA,NA,NA,NA,0,3.4,36.2,60.300000000000004,0
OH,2014,047746,western reserve local,0,10,36,22,68,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047746,western reserve local,NA,NA,NA,NA,66,NA,NA,NA,NA,0,1.428571,32.857142,64.285714,0.01428571
OH,2018,047746,western reserve local,NA,NA,NA,NA,66,NA,NA,NA,NA,0,1.5,31.3,67.2,0
OH,2019,047746,western reserve local,NA,NA,NA,NA,66,NA,NA,NA,NA,0,3,19.400000000000002,77.60000000000001,0
OH,2017,047761,oak hill union local,NA,NA,NA,NA,81,NA,NA,NA,NA,0,1.234567,51.851851,46.913579999999996,0
OH,2018,047761,oak hill union local,NA,NA,NA,NA,80,NA,NA,NA,NA,0,1.3,51.300000000000004,47.4,0
OH,2019,047761,oak hill union local,NA,NA,NA,NA,82,NA,NA,NA,NA,0,3.7,43.2,53.1,0
OH,2014,047779,jefferson county esc,0,0,6,0,6,1,1,0,1,NA,NA,NA,NA,NA
OH,2014,047787,buckeye local,0,6,55,85,146,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047787,buckeye local,NA,NA,NA,NA,165,NA,NA,NA,NA,0,36.111111,58.333332999999996,3.472222,0.02083333
OH,2018,047787,buckeye local,NA,NA,NA,NA,135,NA,NA,NA,NA,0.7000000000000001,39.2,56.6,3.5,0
OH,2019,047787,buckeye local,NA,NA,NA,NA,132,NA,NA,NA,NA,0,35.4,59.1,5.5,0
OH,2014,047795,edison local,0,0,15,80,95,1,1,0,0,NA,NA,NA,NA,NA
