state,name,localid,year,e1,e2,e3,e4,es,et
CT,granby,56,2014,0,NA,NA,141,31,172
CT,granby,56,2015,0,0,15,169,0,184
CT,greenwich,57,2014,NA,NA,91,631,109,831
CT,greenwich,57,2015,NA,NA,107,779,9,895
CT,griswold,58,2014,0,0,48,53,73,174
CT,griswold,58,2015,NA,0,95,NA,81,176
CT,groton,59,2014,0,NA,249,NA,217,466
CT,groton,59,2015,NA,NA,NA,246,194,440
CT,guilford,60,2014,0,NA,90,NA,233,323
CT,guilford,60,2015,NA,NA,305,27,10,343
CT,hamden,62,2014,0,NA,450,NA,87,537
CT,hamden,62,2015,0,6,422,161,6,595
CT,hampton,63,2014,NA,NA,NA,NA,18,18
CT,hampton,63,2015,NA,NA,NA,NA,17,17
CT,hartford,64,2014,10,80,1017,273,232,1602
CT,hartford,64,2015,50,84,1173,369,50,1675
CT,hartland,65,2014,0,0,11,9,0,20
CT,hartland,65,2015,0,0,14,8,0,22
CT,hebron,67,2014,0,0,11,66,2,79
CT,hebron,67,2015,0,0,10,66,0,76
CT,kent,68,2014,0,0,13,14,0,27
CT,kent,68,2015,0,0,8,18,2,28
CT,killingly,69,2014,0,NA,46,NA,205,251
CT,killingly,69,2015,NA,NA,107,128,2,237
CT,lebanon,71,2014,NA,0,NA,58,42,100
CT,lebanon,71,2015,NA,0,NA,102,8,110
CT,ledyard,72,2014,0,NA,NA,32,173,205
CT,ledyard,72,2015,0,NA,NA,154,66,220
CT,lisbon,73,2014,NA,NA,NA,NA,43,43
CT,lisbon,73,2015,NA,NA,NA,NA,45,45
CT,litchfield,74,2014,0,0,67,25,0,92
CT,litchfield,74,2015,0,0,67,29,0,96
CT,manchester shool district,77,2014,0,NA,NA,528,86,614
CT,manchester shool district,77,2015,0,NA,NA,607,46,653
CT,mansfield,78,2014,0,NA,105,NA,24,129
CT,mansfield,78,2015,0,0,95,37,0,132
CT,marlborough,79,2014,NA,NA,NA,NA,47,47
CT,marlborough,79,2015,0,0,37,9,0,46
CT,meriden,80,2014,0,0,35,33,520,588
CT,meriden,80,2015,NA,NA,417,175,12,605
CT,middletown,83,2014,0,NA,NA,150,265,415
CT,middletown,83,2015,0,NA,276,NA,169,445
CT,milford,84,2014,0,6,430,159,18,613
CT,milford,84,2015,0,NA,430,NA,221,651
CT,monroe,85,2014,0,0,32,240,0,272
CT,monroe,85,2015,0,0,30,224,0,254
CT,montville,86,2014,0,NA,157,NA,73,230
CT,montville,86,2015,0,NA,NA,125,116,241
CT,naugatuck,88,2014,0,NA,174,NA,174,348
CT,naugatuck,88,2015,0,NA,218,NA,118,336
CT,new britain,89,2014,0,8,399,159,184,750
CT,new britain,89,2015,NA,NA,556,237,25,817
CT,new canaan,90,2014,0,18,357,33,1,409
CT,new canaan,90,2015,NA,NA,334,71,13,417
CT,new fairfield,91,2014,0,NA,66,NA,131,197
CT,new fairfield,91,2015,0,NA,170,NA,66,236
CT,new hartford,92,2014,0,NA,24,NA,6,30
CT,new hartford,92,2015,0,0,25,21,0,46
CT,new haven,93,2014,11,48,1305,247,104,1704
CT,new haven,93,2015,NA,NA,1561,286,57,1904
CT,new london,95,2014,0,6,115,93,32,246
CT,new london,95,2015,0,7,111,126,3,247
CT,new milford,96,2014,0,0,250,96,0,346
CT,new milford,96,2015,0,7,245,98,0,350
CT,newington,94,2014,0,0,222,134,9,365
CT,newington,94,2015,0,0,249,NA,134,383
CT,newtown,97,2014,NA,NA,NA,218,220,438
CT,newtown,97,2015,0,NA,NA,261,181,442
CT,norfolk,98,2014,NA,NA,NA,NA,11,11
CT,norfolk,98,2015,NA,NA,NA,NA,15,15
CT,north branford,99,2014,0,NA,114,NA,60,174
CT,north branford,99,2015,0,NA,128,NA,47,175
CT,north canaan,100,2014,0,NA,15,NA,14,29
CT,north canaan,100,2015,NA,NA,NA,NA,30,30
CT,north haven,101,2014,0,0,69,159,19,247
CT,north haven,101,2015,0,NA,NA,164,134,298
CT,north stonington,102,2014,0,0,15,11,133,159
CT,north stonington,102,2015,0,0,60,25,0,85
CT,norwalk,103,2014,NA,NA,442,281,42,765
CT,norwalk,103,2015,NA,NA,507,390,9,906
CT,norwich,104,2014,NA,NA,150,63,27,240
CT,norwich,104,2015,NA,NA,237,49,3,289
CT,old saybrook,106,2014,0,0,26,25,106,157
CT,old saybrook,106,2015,0,0,95,69,0,164
CT,orange,107,2014,0,NA,89,NA,3,92
CT,orange,107,2015,NA,NA,NA,NA,102,102
CT,oxford,108,2014,0,NA,150,NA,14,164
CT,oxford,108,2015,NA,NA,154,8,3,166
CT,plainfield,109,2014,0,NA,64,NA,133,197
CT,plainfield,109,2015,0,NA,98,NA,94,192
CT,plainville,110,2014,0,NA,151,NA,61,212
CT,plainville,110,2015,NA,NA,153,NA,86,239
CT,plymouth,111,2014,0,NA,78,NA,5,83
CT,plymouth,111,2015,0,NA,100,NA,39,139
CT,pomfret,112,2014,0,0,20,22,1,43
CT,pomfret,112,2015,0,NA,NA,30,12,42
CT,portland,113,2014,0,NA,23,NA,92,115
CT,portland,113,2015,0,NA,61,NA,61,122
CT,preston,114,2014,NA,NA,NA,NA,41,41
CT,preston,114,2015,NA,NA,NA,NA,27,27
CT,putnam,116,2014,0,NA,78,NA,39,117
CT,putnam,116,2015,0,NA,67,NA,48,115
CT,redding,117,2014,0,0,93,14,10,117
CT,redding,117,2015,0,NA,90,NA,21,111
CT,regional 1,201,2014,0,0,32,12,0,44
CT,regional 1,201,2015,0,0,45,31,0,76
CT,regional 10,210,2014,0,NA,191,NA,55,246
CT,regional 10,210,2015,0,NA,172,NA,70,242
CT,regional 11,211,2014,0,0,6,6,0,12
CT,regional 11,211,2015,0,NA,NA,19,17,36
CT,regional 12,212,2014,0,NA,68,NA,28,96
CT,regional 12,212,2015,0,NA,54,NA,43,97
CT,regional 13,213,2014,0,NA,144,NA,43,187
CT,regional 13,213,2015,0,NA,147,NA,52,199
CT,regional 14,214,2014,0,NA,105,NA,73,178
CT,regional 14,214,2015,0,0,131,53,0,184
CT,regional 15,215,2014,0,NA,267,NA,85,352
CT,regional 15,215,2015,0,NA,227,NA,134,361
CT,regional 16,216,2014,0,0,96,77,24,197
CT,regional 16,216,2015,0,NA,120,NA,84,204
CT,regional 17,217,2014,NA,NA,129,NA,92,221
CT,regional 17,217,2015,NA,NA,149,70,7,226
CT,regional 18,218,2014,0,NA,44,NA,112,156
CT,regional 18,218,2015,0,0,89,75,0,164
CT,regional 19,219,2014,0,NA,27,NA,95,122
CT,regional 19,219,2015,0,NA,101,NA,34,134
CT,regional 4,204,2014,0,0,37,9,48,94
CT,regional 4,204,2015,0,0,49,57,0,106
CT,regional 5,205,2014,0,NA,153,NA,69,222
CT,regional 5,205,2015,NA,NA,124,NA,115,239
CT,regional 6,206,2014,0,NA,96,NA,11,107
CT,regional 6,206,2015,0,0,90,18,0,108
CT,regional 7,207,2014,0,NA,NA,71,27,98
CT,regional 7,207,2015,0,NA,NA,81,28,109
CT,regional 8,208,2014,NA,0,28,NA,25,53
CT,regional 8,208,2015,0,0,74,28,0,102
CT,regional 9,209,2014,0,0,63,27,1,91
CT,regional 9,209,2015,0,NA,73,NA,25,98
CT,ridgefield,118,2014,0,NA,329,NA,101,430
CT,ridgefield,118,2015,0,NA,348,NA,98,446
CT,rocky hill,119,2014,0,NA,57,NA,160,217
CT,rocky hill,119,2015,NA,NA,NA,NA,233,233
CT,salem,121,2014,0,NA,34,NA,8,42
CT,salem,121,2015,0,0,34,7,0,41
CT,salisbury,122,2014,NA,NA,NA,NA,35,35
CT,salisbury,122,2015,NA,NA,NA,NA,35,35
CT,scotland,123,2014,0,NA,NA,15,4,19
CT,scotland,123,2015,NA,NA,NA,NA,19,19
CT,seymour,124,2014,0,NA,158,NA,36,194
CT,seymour,124,2015,0,NA,159,NA,37,196
CT,sharon,125,2014,NA,NA,NA,NA,23,23
CT,sharon,125,2015,NA,NA,NA,NA,24,24
CT,shelton,126,2014,0,0,28,50,331,409
CT,shelton,126,2015,0,0,238,172,0,410
CT,sherman,127,2014,0,0,7,9,30,46
CT,sherman,127,2015,0,0,25,19,0,44
CT,simsbury,128,2014,0,NA,223,NA,166,389
CT,simsbury,128,2015,0,NA,229,153,0,382
CT,somers,129,2014,0,0,47,96,2,145
CT,somers,129,2015,0,NA,NA,87,65,152
CT,south windsor,132,2014,0,0,231,172,3,406
CT,south windsor,132,2015,0,NA,240,NA,153,393
CT,southington,131,2014,0,NA,346,NA,251,597
CT,southington,131,2015,NA,NA,379,NA,222,601
CT,sprague,133,2014,NA,NA,NA,NA,34,34
CT,sprague,133,2015,0,0,16,16,0,32
CT,stafford,134,2014,0,NA,97,NA,65,162
CT,stafford,134,2015,0,12,96,59,-2,165
CT,stamford,135,2014,0,23,1188,163,47,1421
CT,stamford,135,2015,0,14,1107,316,0,1438
CT,sterling,136,2014,NA,NA,NA,NA,43,43
CT,sterling,136,2015,NA,NA,NA,NA,41,41
CT,stonington,137,2014,0,NA,54,NA,154,208
CT,stonington,137,2015,0,NA,205,NA,13,218
CT,stratford,138,2014,0,NA,NA,353,150,503
CT,stratford,138,2015,0,0,254,351,0,605
CT,suffield,139,2014,NA,NA,106,90,4,200
CT,suffield,139,2015,0,NA,116,NA,103,219
CT,thomaston,140,2014,0,NA,NA,28,59,87
CT,thomaston,140,2015,0,0,77,16,0,93
CT,thompson,141,2014,NA,NA,NA,NA,97,97
CT,thompson,141,2015,0,NA,46,NA,46,92
CT,tolland,142,2014,0,0,55,56,110,221
CT,tolland,142,2015,0,0,73,163,0,236
CT,torrington,143,2014,0,NA,280,NA,59,339
CT,torrington,143,2015,0,NA,212,NA,160,372
CT,trumbull,144,2014,NA,NA,NA,NA,584,584
CT,trumbull,144,2015,0,NA,472,NA,77,549
CT,union,145,2014,NA,NA,NA,NA,7,7
CT,union,145,2015,NA,NA,NA,NA,12,12
CT,vernon,146,2014,0,0,183,101,19,303
CT,vernon,146,2015,0,0,269,80,15,363
CT,voluntown,147,2014,NA,0,NA,22,12,34
CT,voluntown,147,2015,0,0,8,28,0,36
CT,wallingford,148,2014,0,NA,413,NA,139,552
CT,wallingford,148,2015,0,NA,492,NA,101,593
CT,waterbury,151,2014,NA,NA,838,469,55,1362
CT,waterbury,151,2015,0,16,856,685,0,1556
CT,waterford,152,2014,0,NA,NA,187,56,243
CT,waterford,152,2015,0,NA,124,NA,124,247
CT,watertown,153,2014,0,NA,149,NA,56,205
CT,watertown,153,2015,0,5,200,43,3,250
CT,west hartford,155,2014,0,0,156,744,14,914
CT,west hartford,155,2015,0,NA,NA,796,140,936
CT,west haven,156,2014,NA,NA,190,29,325,544
CT,west haven,156,2015,NA,NA,412,NA,145,557
CT,westbrook,154,2014,0,NA,484,NA,79,563
CT,westbrook,154,2015,0,0,25,84,0,109
CT,weston,157,2014,0,NA,61,NA,165,226
CT,weston,157,2015,NA,NA,184,NA,46,230
CT,westport,158,2014,0,NA,484,NA,79,563
CT,westport,158,2015,0,0,497,55,0,552
CT,wethersfield,159,2014,0,NA,266,NA,23,289
CT,wethersfield,159,2015,0,0,238,59,0,297
CT,willington,160,2014,NA,NA,NA,NA,48,48
CT,willington,160,2015,NA,NA,NA,NA,50,50
CT,wilton,161,2014,0,NA,NA,203,163,366
CT,wilton,161,2015,0,NA,287,NA,86,373
CT,winchester,162,2014,0,0,43,13,3,59
CT,winchester,162,2015,0,0,56,7,0,63
CT,windham,163,2014,NA,NA,161,111,23,295
CT,windham,163,2015,NA,NA,187,120,16,323
CT,windsor,164,2014,0,NA,169,NA,196,365
CT,windsor,164,2015,0,9,154,22,0,185
CT,windsor locks,165,2014,0,NA,144,NA,15,159
CT,windsor locks,165,2015,0,NA,219,NA,153,372
CT,wolcott,166,2014,0,0,60,12,169,241
CT,wolcott,166,2015,0,NA,199,NA,25,224
CT,woodbridge,167,2014,0,0,25,48,0,73
CT,woodbridge,167,2015,0,0,26,54,0,81
CT,woodstock,169,2014,0,NA,57,NA,10,67
CT,woodstock,169,2015,0,0,36,35,0,71
