state,year,name,localid,et,e4,e3,e2,e1
MI,2012,east lansing school district,33010,246,107,136,3,0
MI,2012,eastern upper peninsula isd  - district created from isd,17000,6,5,0,0,1
MI,2012,easton township s/d #6,34340,2,2,0,0,0
MI,2012,eastpointe community schools,50020,245,78,159,7,1
MI,2012,eaton academy,82915,37,1,36,0,0
MI,2012,eaton rapids public schools,23050,153,0,144,8,1
MI,2012,eaton resa  - district created from isd,23000,16,2,14,0,0
MI,2012,eau claire public schools,11250,70,16,54,0,0
MI,2012,ecorse public schools,82250,53,22,23,5,3
MI,2012,edwardsburg public schools,14030,155,0,155,0,0
MI,2012,el-hajj malik el-shabazz academy,33902,19,11,5,0,3
MI,2012,elk rapids schools,5060,80,0,78,0,2
MI,2012,elkton-pigeon-bay port laker schools,32050,64,0,64,0,0
MI,2012,ellsworth community school,5065,16,0,16,0,0
MI,2012,elm river township school district,31070,2,2,0,0,0
MI,2012,endeavor charter academy,13902,35,0,25,10,0
MI,2012,engadine consolidated schools,49055,20,8,10,1,1
MI,2012,escanaba area public schools,21010,142,119,22,1,0
MI,2012,essexville-hampton public schools,9050,106,98,7,1,0
MI,2012,evart public schools,67020,66,4,62,0,0
MI,2012,ewen-trout creek consolidated school district,66045,17,0,16,1,0
MI,2012,excel charter academy,41905,72,10,60,2,0
MI,2012,excelsior township s/d #1,40060,4,0,0,4,0
MI,2012,fairview area school district,68030,26,8,17,1,0
MI,2012,farmington public school district,63200,758,0,755,3,0
MI,2012,farwell area schools,18020,95,35,58,1,1
MI,2012,fennville public schools,3050,86,0,83,3,0
MI,2012,fenton area public schools,25100,188,0,186,0,2
MI,2012,ferndale public schools,63020,221,39,176,0,6
MI,2012,fitzgerald public schools,50090,175,0,172,3,0
MI,2012,flagship charter academy,82997,39,0,26,13,0
MI,2012,flat river academy,41911,20,0,10,10,0
MI,2012,flat rock community schools,82180,100,0,100,0,0
MI,2012,flextech high school,47903,6,0,6,0,0
MI,2012,"flint, school district of the city of",25010,720,0,669,33,18
MI,2012,flushing community schools,25120,255,20,234,1,0
MI,2012,forest academy,39907,10,6,4,0,0
MI,2012,forest area community schools,40020,43,0,40,0,3
MI,2012,forest hills public schools,41110,703,149,549,3,2
MI,2012,forest park school district,36015,30,3,24,3,0
MI,2012,fortis academy,81906,39,0,18,19,2
MI,2012,four corners montessori academy,63923,15,0,15,0,0
MI,2012,fowler public schools,19070,43,0,43,0,0
MI,2012,fowlerville community schools,47030,174,13,157,2,2
MI,2012,francis reh psa,73909,25,2,23,0,0
MI,2012,frankenmuth school district,73190,74,5,66,3,0
MI,2012,frankfort-elberta area schools,10025,39,0,39,0,0
MI,2012,fraser public schools,50100,315,0,315,0,0
MI,2012,freeland community school district,73200,103,35,64,3,1
MI,2012,fremont public school district,62040,131,45,80,5,1
MI,2012,frontier international academy,82987,15,0,15,0,0
MI,2012,fruitport community schools,61080,186,0,186,0,0
MI,2012,fulton schools,29050,58,0,57,0,1
MI,2012,galesburg-augusta community schools,39050,67,45,20,2,0
MI,2012,galien township school district,11160,13,7,6,0,0
MI,2012,garden city public schools,82050,349,195,149,5,0
MI,2012,gaudior academy,82911,19,3,15,1,0
MI,2012,gaylord community schools,69020,173,52,109,12,0
MI,2012,gee edmonson academy,82731,19,0,19,0,0
MI,2012,gee white academy,82732,25,0,25,0,0
MI,2012,genesee isd  - district created from isd,25000,100,2,97,1,0
MI,2012,genesee school district,25070,45,17,27,0,1
MI,2012,george crockett academy,82937,42,0,33,0,9
MI,2012,george washington carver academy,82963,21,0,21,0,0
MI,2012,gibraltar school district,82290,196,153,43,0,0
MI,2012,gladstone area schools,21025,92,71,21,0,0
MI,2012,gladwin community schools,26040,105,6,95,4,0
MI,2012,glen lake community schools,45010,57,21,32,1,3
MI,2012,glenn public school district,3440,5,0,5,0,0
MI,2012,global heights academy,82725,11,0,11,0,0
MI,2012,global preparatory academy,50904,18,0,18,0,0
MI,2012,gobles public school district,80110,50,23,27,0,0
MI,2012,godfrey-lee public schools,41120,128,53,73,2,0
MI,2012,godwin heights public schools,41020,127,0,127,0,0
MI,2012,gogebic-ontonagon isd  - district created from isd,27000,12,3,9,0,0
MI,2012,goodrich area schools,25050,107,33,74,0,0
MI,2012,grand blanc academy,25903,28,0,28,0,0
MI,2012,grand blanc community schools,25030,423,244,176,3,0
MI,2012,grand haven area public schools,70010,396,0,393,3,0
MI,2012,grand ledge public schools,23060,281,91,181,7,2
MI,2012,grand rapids child discovery center,41921,14,5,9,0,0
MI,2012,grand rapids public schools,41010,1329,482,800,44,3
MI,2012,grand traverse academy,28902,68,68,0,0,0
MI,2012,grandville public schools,41130,350,15,333,1,1
MI,2012,grant public school district,62050,120,16,102,0,2
MI,2012,grant township s/d #2,42030,1,1,0,0,0
MI,2012,grass lake community schools,38050,76,0,76,0,0
MI,2012,gratiot-isabella resd  - district created from isd,29000,23,0,23,0,0
MI,2012,great lakes academy,63907,19,0,14,5,0
MI,2012,great oaks academy,63922,39,4,29,6,0
MI,2012,greenville public schools,59070,209,51,154,2,2
MI,2012,grosse ile township schools,82300,112,11,97,3,1
MI,2012,grosse pointe public schools,82055,622,25,595,2,0
MI,2012,gull lake community schools,39065,172,38,132,2,0
MI,2012,gwinn area community schools,52040,98,37,60,1,0
MI,2012,hagar township s/d #6,11670,5,0,5,0,0
MI,2012,hale area schools,35020,33,6,27,0,0
MI,2012,hamilton academy,82733,42,0,42,0,0
MI,2012,hamilton community schools,3100,166,19,145,2,0
MI,2012,hamtramck academy,82977,31,0,20,11,0
MI,2012,"hamtramck, school district of the city of",82060,184,4,167,11,2
MI,2012,hancock public schools,31010,57,22,35,0,0
MI,2012,hanley international academy,82986,34,0,33,0,1
MI,2012,hanover-horton school district,38100,81,47,33,0,1
MI,2012,harbor beach community schools,32060,33,0,33,0,0
MI,2012,harbor springs school district,24020,73,0,73,0,0
MI,2012,harper creek community schools,13070,175,140,35,0,0
MI,2012,"harper woods, the school district of the city of",82320,81,24,57,0,0
MI,2012,harrison community schools,18060,87,0,84,1,2
MI,2012,hart public school district,64040,85,21,62,1,1
MI,2012,hartford public schools,80120,99,46,53,0,0
MI,2012,hartland consolidated schools,47060,291,291,0,0,0
MI,2012,haslett public schools,33060,164,81,83,0,0
MI,2012,hastings area school district,8030,167,79,85,3,0
MI,2012,"hazel park, school district of the city of",63130,299,296,2,0,1
MI,2012,heart academy,82927,19,7,12,0,0
MI,2012,hemlock public school district,73210,80,13,67,0,0
MI,2012,henry ford academy,82926,28,19,7,2,0
MI,2012,henry ford academy: school for creative studies (psad),82703,43,0,43,0,0
MI,2012,hesperia community schools,62060,70,5,64,1,0
MI,2012,highland park city schools,82070,1,0,1,0,0
MI,2012,hillman community schools,60020,34,0,34,0,0
MI,2012,hillsdale community schools,30020,92,26,62,3,1
MI,2012,hillsdale isd  - district created from isd,30000,33,0,33,0,0
MI,2012,hillsdale preparatory school,30901,7,0,7,0,0
MI,2012,hinoki international school,82726,3,0,3,0,0
MI,2012,holland city school district,70020,272,64,193,15,0
MI,2012,holly academy,63911,52,41,11,0,0
MI,2012,holly area school district,63210,190,159,31,0,0
MI,2012,holt public schools,33070,352,0,352,0,0
MI,2012,holton public schools,61120,65,0,64,1,0
MI,2012,homer community school district,13080,77,35,42,0,0
MI,2012,honey creek community school,81901,18,16,2,0,0
MI,2012,hope academy,82942,29,0,27,2,0
MI,2012,hope academy of west michigan,41926,22,4,9,0,9
MI,2012,hope of detroit academy,82957,39,0,38,0,1
MI,2012,hopkins public schools,3070,95,48,47,0,0
MI,2012,houghton lake community schools,72020,104,0,97,1,6
MI,2012,houghton-portage township school district,31110,79,41,37,0,1
MI,2012,howell public schools,47070,441,119,320,0,2
MI,2012,hudson area schools,46080,53,3,50,0,0
MI,2012,hudsonville public school district,70190,384,247,134,3,0
MI,2012,huron academy,50903,34,14,20,0,0
MI,2012,huron isd  - district created from isd,32000,23,0,22,0,1
MI,2012,huron school district,82340,139,7,132,0,0
MI,2012,huron valley schools,63220,539,6,531,1,1
MI,2012,ida public school district,58070,95,83,11,0,1
MI,2012,imlay city community schools,44060,105,35,67,3,0
MI,2012,ingham isd  - district created from isd,33000,67,3,62,1,1
MI,2012,inland lakes schools,16050,54,0,49,0,5
