MI School Data,
"Educator Effectiveness Snapshot
Statewide: 2015-16 / Teachers",
School Year,Location Name,Location Type,Location Code,Assignment Type,Total Count,HighlyEffective Count,Effective Count,MinimallyEffective Count,Effective Or More Count ,Minimally Effective Or Less Count,Ineffective Count,Highly Effective Percentage,Effective Percentage,Effective Or More Percentage,Minimally Effective Percentage,Minimally Effective Or Less Percentage,Ineffective Percentage,
2016-17,Central Lake Public Schools,District,05035,Teacher,24,13,11,0,24,0,0,54%,46%,100%,0%,0%,0%,
2016-17,Central Montcalm Public Schools,District,59125,Teacher,100,32,68,0,100,0,0,32%,68%,100%,0%,0%,0%,
2016-17,Centreville Public Schools,District,75030,Teacher,54,31,22,1,53,1,0,57%,41%,98%,2%,2%,0%,
2016-17,Cesar Chavez Academy,District,82918,Teacher,139,13,121,5,134,5,0,9%,87%,96%,4%,4%,0%,
2016-17,Chandler Park Academy,District,82923,Teacher,109,26,77,5,103,6,1,24%,71%,94%,5%,6%,1%,
2016-17,Chandler Woods Charter Academy,District,41920,Teacher,40,15,23,2,38,2,0,38%,58%,95%,5%,5%,0%,
2016-17,Charlevoix Public Schools,District,15050,Teacher,62,22,40,0,62,0,0,35%,65%,100%,0%,0%,0%,
2016-17,Charlotte Public Schools,District,23030,Teacher,156,21,134,1,155,1,0,13%,86%,99%,1%,1%,0%,
2016-17,Charyl Stockwell Academy,District,47902,Teacher,61,10,49,0,59,2,2,16%,80%,97%,0%,3%,3%,
2016-17,Chassell Township School District,District,31050,Teacher,18,12,6,0,18,0,0,67%,33%,100%,0%,0%,0%,
2016-17,Chatfield School,District,44901,Teacher,27,22,4,1,26,1,0,81%,15%,96%,4%,4%,0%,
2016-17,Cheboygan Area Schools,District,16015,Teacher,95,64,31,0,95,0,0,67%,33%,100%,0%,0%,0%,
