MI School Data,
"Educator Effectiveness Snapshot
Statewide: 2015-16 / Teachers",
School Year,Location Name,Location Type,Location Code,Assignment Type,Total Count,HighlyEffective Count,Effective Count,MinimallyEffective Count,Effective Or More Count ,Minimally Effective Or Less Count,Ineffective Count,Highly Effective Percentage,Effective Percentage,Effective Or More Percentage,Minimally Effective Percentage,Minimally Effective Or Less Percentage,Ineffective Percentage,
2011-12,Vassar Public Schools,District,79150,Teacher,88,12,74,2,86,2,0,14%,84%,98%,2%,2%,0%,
2011-12,Verona Township S/D #1F,District,32650,Teacher,3,2,1,0,3,0,0,67%,33%,100%,0%,0%,0%,
2011-12,Vestaburg Community Schools,District,59150,Teacher,39,24,15,0,39,0,0,62%,38%,100%,0%,0%,0%,
2011-12,Vicksburg Community Schools,District,39170,Teacher,156,153,0,3,153,3,0,98%,0%,98%,2%,2%,0%,
2011-12,Victory Academy Charter School,District,81907,Teacher,13,0,13,0,13,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Virtual Learning Academy of St. Clair County,District,74912,Teacher,6,1,5,0,6,0,0,17%,83%,100%,0%,0%,0%,
2011-12,Vista Charter Academy,District,41909,Teacher,41,7,29,5,36,5,0,17%,71%,88%,12%,12%,0%,
2011-12,Vista Meadows Academy,District,82716,Teacher,24,0,22,1,22,2,1,0%,92%,92%,4%,8%,4%,
2011-12,Voyageur Academy,District,82940,Teacher,46,0,46,0,46,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Wakefield-Marenisco School District,District,27070,Teacher,22,6,16,0,22,0,0,27%,73%,100%,0%,0%,0%,
2011-12,Walden Green Montessori,District,70901,Teacher,11,2,9,0,11,0,0,18%,82%,100%,0%,0%,0%,
2011-12,Waldron Area Schools,District,30080,Teacher,37,0,36,0,36,1,1,0%,97%,97%,0%,3%,3%,
2011-12,Walker Charter Academy,District,41915,Teacher,37,11,26,0,37,0,0,30%,70%,100%,0%,0%,0%,
2011-12,Walkerville Public Schools,District,64090,Teacher,32,0,32,0,32,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Walled Lake Consolidated Schools,District,63290,Teacher,875,130,745,0,875,0,0,15%,85%,100%,0%,0%,0%,
2011-12,Walton Charter Academy,District,63913,Teacher,44,11,33,0,44,0,0,25%,75%,100%,0%,0%,0%,
2011-12,Warren Consolidated Schools,District,50230,Teacher,908,1,906,1,907,1,0,0%,100%,100%,0%,0%,0%,
2011-12,Warren Woods Public Schools,District,50240,Teacher,214,9,186,15,195,19,4,4%,87%,91%,7%,9%,2%,
2011-12,Warrendale Charter Academy,District,82970,Teacher,45,2,34,9,36,9,0,4%,76%,80%,20%,20%,0%,
2011-12,Washington-Parks Academy,District,82719,Teacher,27,5,19,0,24,3,3,19%,70%,89%,0%,11%,11%,
2011-12,Washtenaw Technical Middle College,District,81903,Teacher,10,10,0,0,10,0,0,100%,0%,100%,0%,0%,0%,
2011-12,Waterford School District,District,63300,Teacher,694,0,694,0,694,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Watersmeet Township School District,District,27080,Teacher,20,0,20,0,20,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Watervliet School District,District,11320,Teacher,89,55,33,1,88,1,0,62%,37%,99%,1%,1%,0%,
2011-12,Wavecrest Career Academy,District,70907,Teacher,9,0,8,1,8,1,0,0%,89%,89%,11%,11%,0%,
2011-12,Waverly Community Schools,District,33215,Teacher,193,0,192,0,192,1,1,0%,99%,99%,0%,1%,1%,
2011-12,Wayland Union Schools,District,03040,Teacher,171,47,124,0,171,0,0,27%,73%,100%,0%,0%,0%,
2011-12,Wayne-Westland Community School District,District,82160,Teacher,734,157,528,41,685,49,8,21%,72%,93%,6%,7%,1%,
2011-12,WayPoint Academy,District,61903,Teacher,20,16,4,0,20,0,0,80%,20%,100%,0%,0%,0%,
2011-12,Webberville Community Schools,District,33220,Teacher,49,7,41,1,48,1,0,14%,84%,98%,2%,2%,0%,
2011-12,Wells Township School District,District,52160,Teacher,3,2,1,0,3,0,0,67%,33%,100%,0%,0%,0%,
2011-12,West Bloomfield School District,District,63160,Teacher,408,100,303,5,403,5,0,25%,74%,99%,1%,1%,0%,
2011-12,West Branch-Rose City Area Schools,District,65045,Teacher,140,55,77,8,132,8,0,39%,55%,94%,6%,6%,0%,
2011-12,West Iron County Public Schools,District,36025,Teacher,66,0,60,6,60,6,0,0%,91%,91%,9%,9%,0%,
2011-12,West MI Academy of Arts and Academics,District,70902,Teacher,28,7,20,1,27,1,0,25%,71%,96%,4%,4%,0%,
2011-12,West MI Academy of Environmental Science,District,41904,Teacher,49,0,49,0,49,0,0,0%,100%,100%,0%,0%,0%,
2011-12,West Ottawa Public School District,District,70070,Teacher,453,178,270,4,448,5,1,39%,60%,99%,1%,1%,0%,
2011-12,West Village Academy,District,82959,Teacher,23,1,17,4,18,5,1,4%,74%,78%,17%,22%,4%,
2011-12,Western School District,District,38010,Teacher,162,109,47,5,156,6,1,67%,29%,96%,3%,4%,1%,
2011-12,Weston Preparatory Academy,District,82943,Teacher,20,3,17,0,20,0,0,15%,85%,100%,0%,0%,0%,
2011-12,Westwood Community School District,District,82240,Teacher,143,6,132,1,138,5,4,4%,92%,97%,1%,4%,3%,
2011-12,Westwood Heights Schools,District,25210,Teacher,69,0,68,0,68,1,1,0%,99%,99%,0%,1%,1%,
2011-12,White Cloud Public Schools,District,62090,Teacher,79,41,37,1,78,1,0,52%,47%,99%,1%,1%,0%,
2011-12,White Pigeon Community Schools,District,75070,Teacher,48,0,48,0,48,0,0,0%,100%,100%,0%,0%,0%,
2011-12,White Pine Academy,District,33906,Teacher,9,9,0,0,9,0,0,100%,0%,100%,0%,0%,0%,
2011-12,Whitefish Township Schools,District,17160,Teacher,8,0,8,0,8,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Whiteford Agricultural School District of the Counties of Lenawee and Monroe,District,58110,Teacher,62,17,45,0,62,0,0,27%,73%,100%,0%,0%,0%,
2011-12,Whitehall District Schools,District,61240,Teacher,123,0,121,2,121,2,0,0%,98%,98%,2%,2%,0%,
2011-12,Whitmore Lake Public School District,District,81140,Teacher,68,4,61,1,65,3,2,6%,90%,96%,1%,4%,3%,
2011-12,Whittemore-Prescott Area Schools,District,35040,Teacher,56,40,14,1,54,2,1,71%,25%,96%,2%,4%,2%,
2011-12,Will Carleton Charter School Academy,District,30902,Teacher,22,5,17,0,22,0,0,23%,77%,100%,0%,0%,0%,
2011-12,William C. Abney Academy,District,41917,Teacher,30,0,30,0,30,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Williamston Community Schools,District,33230,Teacher,125,121,4,0,125,0,0,97%,3%,100%,0%,0%,0%,
2011-12,Willow Run Community Schools,District,81150,Teacher,111,31,78,1,109,2,1,28%,70%,98%,1%,2%,1%,
2011-12,Windemere Park Charter Academy,District,33909,Teacher,38,2,15,21,17,21,0,5%,39%,45%,55%,55%,0%,
2011-12,Windover High School,District,56901,Teacher,7,2,5,0,7,0,0,29%,71%,100%,0%,0%,0%,
2011-12,Wolverine Community School District,District,16100,Teacher,26,0,26,0,26,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Woodhaven-Brownstown School District,District,82365,Teacher,280,75,203,2,278,2,0,27%,73%,99%,1%,1%,0%,
2011-12,Woodland Park Academy,District,25902,Teacher,27,10,17,0,27,0,0,37%,63%,100%,0%,0%,0%,
2011-12,Woodland School,District,28901,Teacher,16,16,0,0,16,0,0,100%,0%,100%,0%,0%,0%,
2011-12,Woodmont Academy,District,63919,Teacher,22,0,22,0,22,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Woodward Academy,District,82913,Teacher,43,43,0,0,43,0,0,100%,0%,100%,0%,0%,0%,
2011-12,"Wyandotte, School District of the City of",District,82170,Teacher,276,87,189,0,276,0,0,32%,68%,100%,0%,0%,0%,
2011-12,Wyoming Public Schools,District,41026,Teacher,270,46,221,2,267,3,1,17%,82%,99%,1%,1%,0%,
2011-12,Yale Public Schools,District,74130,Teacher,125,0,121,1,121,4,3,0%,97%,97%,1%,3%,2%,
2011-12,Youth Advancement Academy,District,39906,Teacher,3,0,3,0,3,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Zeeland Public Schools,District,70350,Teacher,331,115,214,2,329,2,0,35%,65%,99%,1%,1%,0%,
2011-12,Allegan Area Educational Service Agency  - District created from ISD,District,03000,Teacher,41,5,35,1,40,1,0,12%,85%,98%,2%,2%,0%,
2011-12,Alpena-Montmorency-Alcona ESD  - District created from ISD,District,04000,Teacher,6,0,6,0,6,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Barry ISD  - District created from ISD,District,08000,Teacher,5,4,1,0,5,0,0,80%,20%,100%,0%,0%,0%,
2011-12,Bay-Arenac ISD  - District created from ISD,District,09000,Teacher,62,0,61,1,61,1,0,0%,98%,98%,2%,2%,0%,
2011-12,Berrien RESA  - District created from ISD,District,11000,Teacher,53,0,53,0,53,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Branch ISD  - District created from ISD,District,12000,Teacher,37,18,18,0,36,1,1,49%,49%,97%,0%,3%,3%,
2011-12,C.O.O.R. ISD  - District created from ISD,District,72000,Teacher,16,4,12,0,16,0,0,25%,75%,100%,0%,0%,0%,
2011-12,Calhoun Intermediate School District  - District created from ISD,District,13000,Teacher,71,26,38,5,64,7,2,37%,54%,90%,7%,10%,3%,
2011-12,Charlevoix-Emmet ISD  - District created from ISD,District,15000,Teacher,22,0,22,0,22,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Cheb-Otsego-Presque Isle ESD  - District created from ISD,District,16000,Teacher,11,0,11,0,11,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Clare-Gladwin Regional Education Service District  - District created from ISD,District,18000,Teacher,18,0,18,0,18,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Clinton County RESA  - District created from ISD,District,19000,Teacher,20,0,20,0,20,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Copper Country ISD  - District created from ISD,District,31000,Teacher,12,3,8,1,11,1,0,25%,67%,92%,8%,8%,0%,
2011-12,Delta-Schoolcraft ISD  - District created from ISD,District,21000,Teacher,28,19,8,1,27,1,0,68%,29%,96%,4%,4%,0%,
2011-12,Dickinson-Iron ISD  - District created from ISD,District,22000,Teacher,17,17,0,0,17,0,0,100%,0%,100%,0%,0%,0%,
2011-12,Eastern Upper Peninsula ISD  - District created from ISD,District,17000,Teacher,6,5,0,0,5,1,1,83%,0%,83%,0%,17%,17%,
2011-12,Eaton RESA  - District created from ISD,District,23000,Teacher,16,2,14,0,16,0,0,13%,88%,100%,0%,0%,0%,
2011-12,Genesee ISD  - District created from ISD,District,25000,Teacher,100,2,97,1,99,1,0,2%,97%,99%,1%,1%,0%,
2011-12,Gogebic-Ontonagon ISD  - District created from ISD,District,27000,Teacher,12,3,9,0,12,0,0,25%,75%,100%,0%,0%,0%,
2011-12,Gratiot-Isabella RESD  - District created from ISD,District,29000,Teacher,23,0,23,0,23,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Hillsdale ISD  - District created from ISD,District,30000,Teacher,33,0,33,0,33,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Huron ISD  - District created from ISD,District,32000,Teacher,23,0,22,0,22,1,1,0%,96%,96%,0%,4%,4%,
2011-12,Ingham ISD  - District created from ISD,District,33000,Teacher,67,3,62,1,65,2,1,4%,93%,97%,1%,3%,1%,
2011-12,Ionia ISD  - District created from ISD,District,34000,Teacher,31,1,29,1,30,1,0,3%,94%,97%,3%,3%,0%,
2011-12,Iosco RESA  - District created from ISD,District,35000,Teacher,10,4,4,2,8,2,0,40%,40%,80%,20%,20%,0%,
2011-12,Jackson ISD  - District created from ISD,District,38000,Teacher,89,47,41,0,88,1,1,53%,46%,99%,0%,1%,1%,
2011-12,Kalamazoo RESA  - District created from ISD,District,39000,Teacher,81,23,58,0,81,0,0,28%,72%,100%,0%,0%,0%,
2011-12,Kent ISD  - District created from ISD,District,41000,Teacher,68,20,48,0,68,0,0,29%,71%,100%,0%,0%,0%,
2011-12,Lapeer ISD  - District created from ISD,District,44000,Teacher,33,9,24,0,33,0,0,27%,73%,100%,0%,0%,0%,
2011-12,Lenawee ISD  - District created from ISD,District,46000,Teacher,84,20,58,3,78,6,3,24%,69%,93%,4%,7%,4%,
2011-12,Lewis Cass ISD  - District created from ISD,District,14000,Teacher,7,0,6,1,6,1,0,0%,86%,86%,14%,14%,0%,
2011-12,Livingston ESA  - District created from ISD,District,47000,Teacher,33,8,23,1,31,2,1,24%,70%,94%,3%,6%,3%,
2011-12,Macomb ISD  - District created from ISD,District,50000,Teacher,162,31,130,1,161,1,0,19%,80%,99%,1%,1%,0%,
2011-12,Manistee ISD  - District created from ISD,District,51000,Teacher,3,0,3,0,3,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Marquette-Alger RESA  - District created from ISD,District,52000,Teacher,6,5,0,0,5,1,1,83%,0%,83%,0%,17%,17%,
2011-12,West Shore Educational Service District  - District created from ISD,District,53000,Teacher,16,1,15,0,16,0,0,6%,94%,100%,0%,0%,0%,
2011-12,Mecosta-Osceola ISD  - District created from ISD,District,54000,Teacher,45,21,22,1,43,2,1,47%,49%,96%,2%,4%,2%,
2011-12,Menominee ISD  - District created from ISD,District,55000,Teacher,3,0,2,0,2,1,1,0%,67%,67%,0%,33%,33%,
2011-12,Midland County Educational Service Agency  - District created from ISD,District,56000,Teacher,24,17,7,0,24,0,0,71%,29%,100%,0%,0%,0%,
2011-12,Monroe ISD  - District created from ISD,District,58000,Teacher,31,1,30,0,31,0,0,3%,97%,100%,0%,0%,0%,
2011-12,Montcalm Area ISD  - District created from ISD,District,59000,Teacher,49,5,40,4,45,4,0,10%,82%,92%,8%,8%,0%,
2011-12,Muskegon Area ISD  - District created from ISD,District,61000,Teacher,43,2,39,2,41,2,0,5%,91%,95%,5%,5%,0%,
2011-12,Newaygo County RESA  - District created from ISD,District,62000,Teacher,25,3,22,0,25,0,0,12%,88%,100%,0%,0%,0%,
2011-12,Oakland Schools  - District created from ISD,District,63000,Teacher,91,68,20,0,88,3,3,75%,22%,97%,0%,3%,3%,
2011-12,Ottawa Area ISD  - District created from ISD,District,70000,Teacher,103,8,92,3,100,3,0,8%,89%,97%,3%,3%,0%,
2011-12,Saginaw ISD  - District created from ISD,District,73000,Teacher,80,9,71,0,80,0,0,11%,89%,100%,0%,0%,0%,
2011-12,Sanilac ISD  - District created from ISD,District,76000,Teacher,22,5,17,0,22,0,0,23%,77%,100%,0%,0%,0%,
2011-12,Shiawassee Regional ESD  - District created from ISD,District,78000,Teacher,19,0,19,0,19,0,0,0%,100%,100%,0%,0%,0%,
2011-12,St. Clair County RESA  - District created from ISD,District,74000,Teacher,27,27,0,0,27,0,0,100%,0%,100%,0%,0%,0%,
2011-12,St. Joseph County ISD  - District created from ISD,District,75000,Teacher,13,1,12,0,13,0,0,8%,92%,100%,0%,0%,0%,
2011-12,Traverse Bay Area ISD  - District created from ISD,District,28000,Teacher,90,0,87,1,87,3,2,0%,97%,97%,1%,3%,2%,
2011-12,Tuscola ISD  - District created from ISD,District,79000,Teacher,44,27,17,0,44,0,0,61%,39%,100%,0%,0%,0%,
2011-12,Van Buren ISD  - District created from ISD,District,80000,Teacher,107,41,66,0,107,0,0,38%,62%,100%,0%,0%,0%,
2011-12,Washtenaw ISD  - District created from ISD,District,81000,Teacher,25,8,16,1,24,1,0,32%,64%,96%,4%,4%,0%,
2011-12,Wexford-Missaukee ISD  - District created from ISD,District,83000,Teacher,29,2,26,1,28,1,0,7%,90%,97%,3%,3%,0%,
2011-12,DeTour Arts and Technology Academy,District,17903,Teacher,9,1,8,0,9,0,0,11%,89%,100%,0%,0%,0%,
2011-12,Relevant Academy of Eaton County,District,23902,Teacher,4,0,4,0,4,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Leelanau Montessori Public School Academy,District,45901,Teacher,6,2,3,0,5,1,1,33%,50%,83%,0%,17%,17%,
2011-12,Michigan Connections Academy,District,33911,Teacher,29,6,23,0,29,0,0,21%,79%,100%,0%,0%,0%,
2011-12,Wellspring Preparatory High School,District,41923,Teacher,14,4,9,1,13,1,0,29%,64%,93%,7%,7%,0%,
2011-12,West Michigan Aviation Academy,District,41924,Teacher,15,5,9,1,14,1,0,33%,60%,93%,7%,7%,0%,
2011-12,Michigan Virtual Charter Academy,District,41925,Teacher,32,0,32,0,32,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Taylor International Academy,District,63925,Teacher,19,12,7,0,19,0,0,63%,37%,100%,0%,0%,0%,
2011-12,St. Clair County Career Prep Academy,District,74913,Teacher,12,12,0,0,12,0,0,100%,0%,100%,0%,0%,0%,
2011-12,Detroit Leadership Academy,District,82722,Teacher,19,6,12,1,18,1,0,32%,63%,95%,5%,5%,0%,
2011-12,Legacy Charter Academy,District,82723,Teacher,31,1,26,4,27,4,0,3%,84%,87%,13%,13%,0%,
2011-12,University Yes Academy,District,82724,Teacher,15,0,7,4,7,8,4,0%,47%,47%,27%,53%,27%,
2011-12,Global Heights Academy,District,82725,Teacher,11,0,11,0,11,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Hinoki International School,District,82726,Teacher,3,0,3,0,3,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Bay City Academy,District,09903,Teacher,12,12,0,0,12,0,0,100%,0%,100%,0%,0%,0%,
2011-12,The Greenspire School,District,28904,Teacher,3,3,0,0,3,0,0,100%,0%,100%,0%,0%,0%,
2011-12,Hope Academy of West Michigan,District,41926,Teacher,22,4,9,0,13,9,9,18%,41%,59%,0%,41%,41%,
2011-12,FlexTech High School,District,47903,Teacher,6,0,6,0,6,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Noor International Academy,District,50913,Teacher,11,0,8,0,8,3,3,0%,73%,73%,0%,27%,27%,
2011-12,Arbor Preparatory High School,District,81909,Teacher,12,0,12,0,12,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Regent Park Scholars Charter Academy,District,82727,Teacher,28,1,14,13,15,13,0,4%,50%,54%,46%,46%,0%,
2011-12,Jalen Rose Leadership Academy,District,82728,Teacher,9,0,4,2,4,5,3,0%,44%,44%,22%,56%,33%,
2011-12,East Arbor Charter Academy,District,81910,Teacher,30,0,27,3,27,3,0,0%,90%,90%,10%,10%,0%,
2011-12,South Canton Scholars Charter Academy,District,82729,Teacher,32,2,25,5,27,5,0,6%,78%,84%,16%,16%,0%,
2011-12,Forest Academy,District,39907,Teacher,10,6,4,0,10,0,0,60%,40%,100%,0%,0%,0%,
2011-12,American International Academy,District,82730,Teacher,8,0,4,4,4,4,0,0%,50%,50%,50%,50%,0%,
2011-12,Hamilton Academy,District,82733,Teacher,42,0,42,0,42,0,0,0%,100%,100%,0%,0%,0%,
2011-12,GEE Edmonson Academy,District,82731,Teacher,19,0,19,0,19,0,0,0%,100%,100%,0%,0%,0%,
2011-12,GEE White Academy,District,82732,Teacher,25,0,25,0,25,0,0,0%,100%,100%,0%,0%,0%,
2011-12,New Paradigm Glazer-Loving Academy,District,82735,Teacher,12,0,12,0,12,0,0,0%,100%,100%,0%,0%,0%,
2011-12,New Paradigm Glazer Academy,District,82734,Teacher,11,0,9,0,9,2,2,0%,82%,82%,0%,18%,18%,
2012-13,Academic and Career Education Academy,District,56903,Teacher,8,0,7,1,7,1,0,0%,88%,88%,13%,13%,0%,
2012-13,Academy for Business and Technology,District,82921,Teacher,49,11,37,0,48,1,1,22%,76%,98%,0%,2%,2%,
2012-13,Detroit West Preparatory Academy,District,82909,Teacher,13,0,13,0,13,0,0,0%,100%,100%,0%,0%,0%,
2012-13,Anchor Bay School District,District,50040,Teacher,319,62,250,4,312,7,3,19%,78%,98%,1%,2%,1%,
2012-13,Ann Arbor Learning Community,District,81904,Teacher,18,16,2,0,18,0,0,89%,11%,100%,0%,0%,0%,
2012-13,Ann Arbor Public Schools,District,81010,Teacher,"1,176",147,"1,026",3,"1,173",3,0,13%,87%,100%,0%,0%,0%,
2012-13,Arbor Academy,District,13901,Teacher,26,19,7,0,26,0,0,73%,27%,100%,0%,0%,0%,
2012-13,Arenac Eastern School District,District,06010,Teacher,26,0,26,0,26,0,0,0%,100%,100%,0%,0%,0%,
2012-13,Armada Area Schools,District,50050,Teacher,125,37,88,0,125,0,0,30%,70%,100%,0%,0%,0%,
2012-13,Arts Academy in the Woods,District,50905,Teacher,19,3,15,1,18,1,0,16%,79%,95%,5%,5%,0%,
2012-13,Arts and Technology Academy of Pontiac,District,63915,Teacher,28,7,17,2,24,4,2,25%,61%,86%,7%,14%,7%,
2012-13,Arvon Township School District,District,07010,Teacher,2,0,2,0,2,0,0,0%,100%,100%,0%,0%,0%,
2012-13,Ashley Community Schools,District,29020,Teacher,34,3,31,0,34,0,0,9%,91%,100%,0%,0%,0%,
2012-13,Athens Area Schools,District,13050,Teacher,35,26,8,0,34,1,1,74%,23%,97%,0%,3%,3%,
2012-13,Atherton Community Schools,District,25130,Teacher,54,3,43,6,46,8,2,6%,80%,85%,11%,15%,4%,
2012-13,Atlanta Community Schools,District,60010,Teacher,17,0,17,0,17,0,0,0%,100%,100%,0%,0%,0%,
2012-13,Au Gres-Sims School District,District,06020,Teacher,23,13,9,1,22,1,0,57%,39%,96%,4%,4%,0%,
2012-13,Academy of Flint,District,25908,Teacher,30,0,23,0,23,7,7,0%,77%,77%,0%,23%,23%,
2012-13,Academy of Southfield,District,63903,Teacher,27,0,27,0,27,0,0,0%,100%,100%,0%,0%,0%,
2012-13,Academy of Warren,District,50911,Teacher,48,10,29,8,39,9,1,21%,60%,81%,17%,19%,2%,
2012-13,Academy of Waterford,District,63916,Teacher,14,0,14,0,14,0,0,0%,100%,100%,0%,0%,0%,
2012-13,ACE Academy (SDA),District,82998,Teacher,15,5,9,1,14,1,0,33%,60%,93%,7%,7%,0%,
2012-13,Achieve Charter Academy,District,82717,Teacher,34,4,29,1,33,1,0,12%,85%,97%,3%,3%,0%,
2012-13,Adams Township School District,District,31020,Teacher,26,17,9,0,26,0,0,65%,35%,100%,0%,0%,0%,
2012-13,Addison Community Schools,District,46020,Teacher,53,40,12,1,52,1,0,75%,23%,98%,2%,2%,0%,
2012-13,Adrian Public Schools,District,46010,Teacher,205,36,165,4,201,4,0,18%,80%,98%,2%,2%,0%,
2012-13,Advanced Technology Academy,District,63914,Teacher,94,27,65,2,92,2,0,29%,69%,98%,2%,2%,0%,
2012-13,AGBU Alex-Marie Manoogian School,District,63901,Teacher,27,15,12,0,27,0,0,56%,44%,100%,0%,0%,0%,
2012-13,Airport Community Schools,District,58020,Teacher,149,68,64,13,132,17,4,46%,43%,89%,9%,11%,3%,
2012-13,Aisha Shule/WEB Dubois Prep. Academy School,District,82903,Teacher,10,3,5,1,8,2,1,30%,50%,80%,10%,20%,10%,
2012-13,Akron-Fairgrove Schools,District,79010,Teacher,20,1,18,1,19,1,0,5%,90%,95%,5%,5%,0%,
2012-13,Alanson Public Schools,District,24030,Teacher,22,7,15,0,22,0,0,32%,68%,100%,0%,0%,0%,
2012-13,Alba Public Schools,District,05010,Teacher,14,0,13,0,13,1,1,0%,93%,93%,0%,7%,7%,
2012-13,Albion Public Schools,District,13010,Teacher,55,1,53,1,54,1,0,2%,96%,98%,2%,2%,0%,
2012-13,Alcona Community Schools,District,01010,Teacher,43,0,42,1,42,1,0,0%,98%,98%,2%,2%,0%,
2012-13,Algonac Community School District,District,74030,Teacher,117,11,105,1,116,1,0,9%,90%,99%,1%,1%,0%,
2012-13,Allegan Public Schools,District,03030,Teacher,168,57,107,4,164,4,0,34%,64%,98%,2%,2%,0%,
2012-13,Allen Academy,District,82955,Teacher,46,0,46,0,46,0,0,0%,100%,100%,0%,0%,0%,
2012-13,Allen Park Public Schools,District,82020,Teacher,192,57,134,1,191,1,0,30%,70%,99%,1%,1%,0%,
2012-13,Allendale Public Schools,District,70040,Teacher,151,71,80,0,151,0,0,47%,53%,100%,0%,0%,0%,
2012-13,Alma Public Schools,District,29010,Teacher,140,15,123,2,138,2,0,11%,88%,99%,1%,1%,0%,
2012-13,Almont Community Schools,District,44020,Teacher,83,0,83,0,83,0,0,0%,100%,100%,0%,0%,0%,
2012-13,Alpena Public Schools,District,04010,Teacher,231,29,199,3,228,3,0,13%,86%,99%,1%,1%,0%,
2012-13,American Montessori Academy,District,82981,Teacher,30,9,20,0,29,1,1,30%,67%,97%,0%,3%,3%,
2012-13,AuTrain-Onota Public Schools,District,02010,Teacher,7,7,0,0,7,0,0,100%,0%,100%,0%,0%,0%,
2012-13,Avondale School District,District,63070,Teacher,208,0,207,1,207,1,0,0%,100%,100%,0%,0%,0%,
2012-13,Bad Axe Public Schools,District,32010,Teacher,74,0,74,0,74,0,0,0%,100%,100%,0%,0%,0%,
2012-13,Baldwin Community Schools,District,43040,Teacher,53,0,30,21,30,23,2,0%,57%,57%,40%,43%,4%,
2012-13,Bangor Public Schools (Van Buren),District,80020,Teacher,101,52,46,0,98,3,3,51%,46%,97%,0%,3%,3%,
2012-13,Bangor Township S/D #8,District,80240,Teacher,2,2,0,0,2,0,0,100%,0%,100%,0%,0%,0%,
2012-13,Bangor Township Schools,District,09030,Teacher,137,56,78,2,134,3,1,41%,57%,98%,1%,2%,1%,
2012-13,Baraga Area Schools,District,07020,Teacher,44,7,37,0,44,0,0,16%,84%,100%,0%,0%,0%,
2012-13,Bark River-Harris School District,District,21090,Teacher,44,36,8,0,44,0,0,82%,18%,100%,0%,0%,0%,
2012-13,Bath Community Schools,District,19100,Teacher,65,20,45,0,65,0,0,31%,69%,100%,0%,0%,0%,
2012-13,Battle Creek Area Learning Center,District,13904,Teacher,12,7,5,0,12,0,0,58%,42%,100%,0%,0%,0%,
2012-13,Battle Creek Public Schools,District,13020,Teacher,374,162,187,21,349,25,4,43%,50%,93%,6%,7%,1%,
2012-13,Bay City School District,District,09010,Teacher,463,128,327,8,455,8,0,28%,71%,98%,2%,2%,0%,
2012-13,State Street Academy,District,09902,Teacher,27,14,10,3,24,3,0,52%,37%,89%,11%,11%,0%,
2012-13,Bay-Arenac Community High School,District,09901,Teacher,6,0,5,0,5,1,1,0%,83%,83%,0%,17%,17%,
2012-13,Beal City Public Schools,District,37040,Teacher,41,13,27,1,40,1,0,32%,66%,98%,2%,2%,0%,
2012-13,Bear Lake Schools,District,51020,Teacher,23,0,23,0,23,0,0,0%,100%,100%,0%,0%,0%,
2012-13,Beaver Island Community School,District,15010,Teacher,11,0,11,0,11,0,0,0%,100%,100%,0%,0%,0%,
2012-13,Beaverton Rural Schools,District,26010,Teacher,74,19,51,3,70,4,1,26%,69%,95%,4%,5%,1%,
2012-13,Bedford Public Schools,District,58030,Teacher,257,129,126,2,255,2,0,50%,49%,99%,1%,1%,0%,
2012-13,Beecher Community School District,District,25240,Teacher,91,18,66,5,84,7,2,20%,73%,92%,5%,8%,2%,
2012-13,Belding Area School District,District,34080,Teacher,121,67,53,0,120,1,1,55%,44%,99%,0%,1%,1%,
2012-13,Bellaire Public Schools,District,05040,Teacher,30,0,30,0,30,0,0,0%,100%,100%,0%,0%,0%,
2012-13,Bellevue Community Schools,District,23010,Teacher,37,5,26,6,31,6,0,14%,70%,84%,16%,16%,0%,
2012-13,Bendle Public Schools,District,25060,Teacher,91,6,83,1,89,2,1,7%,91%,98%,1%,2%,1%,
2012-13,Bentley Community School District,District,25230,Teacher,49,1,46,2,47,2,0,2%,94%,96%,4%,4%,0%,
2012-13,Benton Harbor Area Schools,District,11010,Teacher,181,15,118,46,133,48,2,8%,65%,73%,25%,27%,1%,
2012-13,Benton Harbor Charter School Academy,District,11903,Teacher,25,0,25,0,25,0,0,0%,100%,100%,0%,0%,0%,
2012-13,Benzie County Central Schools,District,10015,Teacher,102,87,15,0,102,0,0,85%,15%,100%,0%,0%,0%,
