MI School Data,
Educator Effectiveness Trend Statewide: 2018-19 / Teachers,
School Year,Location Name,Location Type,Location Code,Assignment Type,Total Count,HighlyEffective Count,Effective Count,MinimallyEffective Count,Effective Or More Count ,Minimally Effective Or Less Count,Ineffective Count,Highly Effective Percentage,Effective Percentage,Effective Or More Percentage,Minimally Effective Percentage,Minimally Effective Or Less Percentage,Ineffective Percentage,
2011-12,Calhoun Intermediate School District  - District created from ISD,District,13000,Teacher,71,26,38,5,64,7,2,37%,54%,90%,7%,10%,3%,
2011-12,Camden-Frontier School,District,30010,Teacher,49,0,49,0,49,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Canton Charter Academy,District,82968,Teacher,34,2,30,2,32,2,0,6%,88%,94%,6%,6%,0%,
2011-12,Capac Community Schools,District,74040,Teacher,80,0,80,0,80,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Carman-Ainsworth Community Schools,District,25080,Teacher,296,6,278,12,284,12,0,2%,94%,96%,4%,4%,0%,
2011-12,Carney-Nadeau Public Schools,District,55010,Teacher,19,11,8,0,19,0,0,58%,42%,100%,0%,0%,0%,
2011-12,Caro Community Schools,District,79020,Teacher,106,11,90,3,101,5,2,10%,85%,95%,3%,5%,2%,
2011-12,Carrollton Public Schools,District,73030,Teacher,121,34,81,6,115,6,0,28%,67%,95%,5%,5%,0%,
2011-12,Carson City-Crystal Area Schools,District,59020,Teacher,74,34,38,2,72,2,0,46%,51%,97%,3%,3%,0%,
2011-12,Carsonville-Port Sanilac School District,District,76070,Teacher,41,0,40,1,40,1,0,0%,98%,98%,2%,2%,0%,
2011-12,Casa Richard Academy,District,82902,Teacher,6,0,6,0,6,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Caseville Public Schools,District,32030,Teacher,29,0,29,0,29,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Casman Alternative Academy,District,51903,Teacher,8,0,7,0,7,1,1,0%,88%,88%,0%,13%,13%,
2011-12,Cass City Public Schools,District,79030,Teacher,64,15,49,0,64,0,0,23%,77%,100%,0%,0%,0%,
2011-12,Cassopolis Public Schools,District,14010,Teacher,67,0,67,0,67,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Cedar Springs Public Schools,District,41070,Teacher,189,180,7,1,187,2,1,95%,4%,99%,1%,1%,1%,
2011-12,Center Academy,District,25906,Teacher,25,3,21,1,24,1,0,12%,84%,96%,4%,4%,0%,
2011-12,Center for Literacy and Creativity,District,82949,Teacher,6,0,5,0,5,1,1,0%,83%,83%,0%,17%,17%,
2011-12,Center Line Public Schools,District,50010,Teacher,148,19,128,0,147,1,1,13%,86%,99%,0%,1%,1%,
2011-12,Central Academy,District,81902,Teacher,32,0,32,0,32,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Central Lake Public Schools,District,05035,Teacher,24,0,24,0,24,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Central Montcalm Public Schools,District,59125,Teacher,112,19,93,0,112,0,0,17%,83%,100%,0%,0%,0%,
2011-12,Centreville Public Schools,District,75030,Teacher,65,35,30,0,65,0,0,54%,46%,100%,0%,0%,0%,
2011-12,Cesar Chavez Academy,District,82918,Teacher,120,10,108,0,118,2,2,8%,90%,98%,0%,2%,2%,
2011-12,Chandler Park Academy,District,82923,Teacher,107,47,52,3,99,8,5,44%,49%,93%,3%,7%,5%,
2011-12,Chandler Woods Charter Academy,District,41920,Teacher,39,13,26,0,39,0,0,33%,67%,100%,0%,0%,0%,
2011-12,Charlevoix Montessori Academy for the Arts,District,15902,Teacher,11,1,10,0,11,0,0,9%,91%,100%,0%,0%,0%,
2011-12,Charlevoix Public Schools,District,15050,Teacher,74,28,46,0,74,0,0,38%,62%,100%,0%,0%,0%,
2011-12,Charlevoix-Emmet ISD  - District created from ISD,District,15000,Teacher,22,0,22,0,22,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Charlotte Public Schools,District,23030,Teacher,173,1,163,6,164,9,3,1%,94%,95%,3%,5%,2%,
2011-12,Charyl Stockwell Academy,District,47902,Teacher,57,11,38,8,49,8,0,19%,67%,86%,14%,14%,0%,
2011-12,Chassell Township School District,District,31050,Teacher,18,1,17,0,18,0,0,6%,94%,100%,0%,0%,0%,
2011-12,Chatfield School,District,44901,Teacher,25,5,18,2,23,2,0,20%,72%,92%,8%,8%,0%,
2011-12,Cheb-Otsego-Presque Isle ESD  - District created from ISD,District,16000,Teacher,11,0,11,0,11,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Cheboygan Area Schools,District,16015,Teacher,106,0,106,0,106,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Chelsea School District,District,81040,Teacher,146,15,130,1,145,1,0,10%,89%,99%,1%,1%,0%,
2011-12,Chesaning Union Schools,District,73110,Teacher,95,23,65,6,88,7,1,24%,68%,93%,6%,7%,1%,
2011-12,Chippewa Hills School District,District,54025,Teacher,127,48,74,2,122,5,3,38%,58%,96%,2%,4%,2%,
2011-12,Chippewa Valley Schools,District,50080,Teacher,789,564,225,0,789,0,0,71%,29%,100%,0%,0%,0%,
2011-12,Church School District,District,32040,Teacher,2,1,1,0,2,0,0,50%,50%,100%,0%,0%,0%,
2011-12,Clara B. Ford Academy (SDA),District,82996,Teacher,24,0,21,1,21,3,2,0%,88%,88%,4%,13%,8%,
2011-12,Clare Public Schools,District,18010,Teacher,86,0,86,0,86,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Clare-Gladwin Regional Education Service District  - District created from ISD,District,18000,Teacher,18,0,18,0,18,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Clarenceville School District,District,63090,Teacher,112,70,41,0,111,1,1,63%,37%,99%,0%,1%,1%,
2011-12,Clarkston Community School District,District,63190,Teacher,466,239,224,1,463,3,2,51%,48%,99%,0%,1%,0%,
2011-12,Clawson Public Schools,District,63270,Teacher,135,0,134,1,134,1,0,0%,99%,99%,1%,1%,0%,
2011-12,Climax-Scotts Community Schools,District,39020,Teacher,42,13,28,0,41,1,1,31%,67%,98%,0%,2%,2%,
2011-12,Clinton Community Schools,District,46060,Teacher,75,73,0,0,73,2,2,97%,0%,97%,0%,3%,3%,
2011-12,Clinton County RESA  - District created from ISD,District,19000,Teacher,20,0,20,0,20,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Clintondale Community Schools,District,50070,Teacher,179,124,54,0,178,1,1,69%,30%,99%,0%,1%,1%,
2011-12,Clio Area School District,District,25150,Teacher,169,0,169,0,169,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Coldwater Community Schools,District,12010,Teacher,175,0,173,0,173,2,2,0%,99%,99%,0%,1%,1%,
2011-12,Cole Academy,District,33901,Teacher,9,0,6,0,6,3,3,0%,67%,67%,0%,33%,33%,
2011-12,Coleman Community Schools,District,56030,Teacher,43,0,43,0,43,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Colfax Township S/D #1F,District,32260,Teacher,2,2,0,0,2,0,0,100%,0%,100%,0%,0%,0%,
2011-12,Coloma Community Schools,District,11330,Teacher,124,0,119,5,119,5,0,0%,96%,96%,4%,4%,0%,
2011-12,Colon Community School District,District,75040,Teacher,42,29,11,0,40,2,2,69%,26%,95%,0%,5%,5%,
2011-12,Columbia School District,District,38040,Teacher,85,67,18,0,85,0,0,79%,21%,100%,0%,0%,0%,
2011-12,Commonwealth Community Development Academy,District,82919,Teacher,19,9,8,0,17,2,2,47%,42%,89%,0%,11%,11%,
2011-12,Comstock Park Public Schools,District,41080,Teacher,140,0,140,0,140,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Comstock Public Schools,District,39030,Teacher,135,86,42,7,128,7,0,64%,31%,95%,5%,5%,0%,
2011-12,Concord Academy - Boyne,District,15901,Teacher,16,11,4,1,15,1,0,69%,25%,94%,6%,6%,0%,
2011-12,Concord Academy - Petoskey,District,24901,Teacher,24,0,23,1,23,1,0,0%,96%,96%,4%,4%,0%,
2011-12,Concord Community Schools,District,38080,Teacher,52,32,19,1,51,1,0,62%,37%,98%,2%,2%,0%,
2011-12,Conner Creek Academy East,District,50902,Teacher,68,39,25,2,64,4,2,57%,37%,94%,3%,6%,3%,
2011-12,Constantine Public School District,District,75050,Teacher,87,1,85,0,86,1,1,1%,98%,99%,0%,1%,1%,
2011-12,Coopersville Area Public School District,District,70120,Teacher,128,13,114,1,127,1,0,10%,89%,99%,1%,1%,0%,
2011-12,Copper Country ISD  - District created from ISD,District,31000,Teacher,12,3,8,1,11,1,0,25%,67%,92%,8%,8%,0%,
2011-12,Corunna Public Schools,District,78100,Teacher,140,0,140,0,140,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Countryside Academy,District,11901,Teacher,35,1,32,1,33,2,1,3%,91%,94%,3%,6%,3%,
2011-12,Covenant House Academy Detroit,District,82991,Teacher,10,0,10,0,10,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Covenant House Academy East,District,82990,Teacher,9,0,9,0,9,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Covenant House Academy Southwest,District,82989,Teacher,9,0,9,0,9,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Covert Public Schools,District,80040,Teacher,50,11,33,6,44,6,0,22%,66%,88%,12%,12%,0%,
2011-12,Crawford AuSable Schools,District,20015,Teacher,108,10,95,0,105,3,3,9%,88%,97%,0%,3%,3%,
2011-12,Creative Learning Academy,District,26901,Teacher,4,2,2,0,4,0,0,50%,50%,100%,0%,0%,0%,
2011-12,Creative Montessori Academy,District,82969,Teacher,32,0,31,0,31,1,1,0%,97%,97%,0%,3%,3%,
2011-12,Creative Technologies Academy,District,41918,Teacher,22,4,18,0,22,0,0,18%,82%,100%,0%,0%,0%,
2011-12,Crescent Academy,District,63921,Teacher,37,2,34,0,36,1,1,5%,92%,97%,0%,3%,3%,
2011-12,Crestwood School District,District,82230,Teacher,193,35,156,0,191,2,2,18%,81%,99%,0%,1%,1%,
2011-12,Cross Creek Charter Academy,District,41916,Teacher,38,1,37,0,38,0,0,3%,97%,100%,0%,0%,0%,
2011-12,Crossroads Charter Academy,District,54901,Teacher,53,31,20,2,51,2,0,58%,38%,96%,4%,4%,0%,
2011-12,Croswell-Lexington Community Schools,District,76080,Teacher,135,3,131,1,134,1,0,2%,97%,99%,1%,1%,0%,
2011-12,Da Vinci Institute,District,38901,Teacher,25,2,22,0,24,1,1,8%,88%,96%,0%,4%,4%,
2011-12,Dansville Schools,District,33040,Teacher,58,23,29,4,52,6,2,40%,50%,90%,7%,10%,3%,
2011-12,David Ellis Academy,District,82947,Teacher,12,1,11,0,12,0,0,8%,92%,100%,0%,0%,0%,
2011-12,David Ellis Academy West,District,82994,Teacher,39,0,37,0,37,2,2,0%,95%,95%,0%,5%,5%,
2011-12,Davison Community Schools,District,25140,Teacher,285,168,108,5,276,9,4,59%,38%,97%,2%,3%,1%,
2011-12,Dearborn City School District,District,82030,Teacher,"1,242",293,934,7,"1,227",15,8,24%,75%,99%,1%,1%,1%,
2011-12,Dearborn Heights School District #7,District,82040,Teacher,171,47,122,1,169,2,1,27%,71%,99%,1%,1%,1%,
2011-12,Decatur Public Schools,District,80050,Teacher,68,0,60,8,60,8,0,0%,88%,88%,12%,12%,0%,
2011-12,Deckerville Community School District,District,76090,Teacher,36,0,35,1,35,1,0,0%,97%,97%,3%,3%,0%,
2011-12,Delta-Schoolcraft ISD  - District created from ISD,District,21000,Teacher,28,19,8,1,27,1,0,68%,29%,96%,4%,4%,0%,
2011-12,Delton Kellogg Schools,District,08010,Teacher,93,25,67,1,92,1,0,27%,72%,99%,1%,1%,0%,
2011-12,DeTour Area Schools,District,17050,Teacher,17,1,16,0,17,0,0,6%,94%,100%,0%,0%,0%,
2011-12,DeTour Arts and Technology Academy,District,17903,Teacher,9,1,8,0,9,0,0,11%,89%,100%,0%,0%,0%,
